Item 2012 2013 2014 2015 2016
Crop_Value_Total 34230414 38157805 39901692 34576484 35407105
Food_grains 1128884 1155155 1294628 897678 793219
Feed_crops 1488170 1366737 1491948 1023964 853881
Cotton 825381 827368 853134 443398 423344
Oil_crops 39089 42171 43167 41657 43001
Fruits_tree_nuts 18755871 21087026 23074348 19359906 19390066
Vegetables 6589406 7837330 8257814 8854143 8046731
Other_crops 5942505 6071853 6189669 5837673 6042271
Home_consumption 9921 18250 17468 54478 43394
Value_inv_adj_crop -548814 -248083 -1320483 -595413 -228802
Livestock_Value_Total 12077178 12751950 15208538 11919346 10453199
Meat_animals 3227126 3086974 3770789 3424444 2550000
Dairy_products 6899743 7617641 9358087 6293210 6065700
Poultry_eggs 1508158 1608530 1681512 1702701 1278695
Miscellaneous_livestock 549754 500874 594393 533738 554559
Home_consumption 8857 7110 7696 7062 5705
Value_inv_adj_livestock -116460 -69179 -203940 135603 -1460
Purchased_Inputs_Total 20141547 22235066 23876848 20368490 19435603
Farm_Origin_Inputs 7651938 8435920 6888747 6547219 6203692
Feed_purchased 5490000 6170000 4750000 4050000 3930000
Livestock_poultry_purchased 821938 805920 798747 967219 523692
Seed_purchased 1340000 1460000 1340000 1530000 1750000
Manufactured_Inputs_Total 5278882 5787134 7002518 6085322 6203181
Fertilizers_lime 1610000 1850000 2350000 2060000 2150000
Pesticides 1450000 1600000 2080000 1650000 1840000
Petroleum_fuel 1363899 1300145 1379152 1222545 1194885
Electricity 854983 1036989 1193366 1152776 1018296
Other_Inputs_Total 9642177 10218603 13559968 10873395 10672296
Repair_maint_equip 1140493 1185780 1497986 1414721 1220071
Machine_hire_custom_work 967413 1084889 1728992 879141 734967
Marketing_storage_transp 1722660 1748214 2147628 1594384 1492019
Contract_labor 2431450 2206591 3574385 3137446 3643565
Misc_expenses 3380161 3993129 4610977 3847703 3581674
Employee_compensation 5848550 6643409 6145615 6102554 6236435
