commodity us_rank ca_share area production_kton value_k ca_rank2014 ca_rank2015
Artichokes 1 100.0 6.5 43.9 72874 52 47
Asparagus 1 53.3 10.8 14.5 40310 57 57
Beans_FM 3 21.4 4.4 26.4 37435 47 44
Broccoli 1 94.3 115.0 920.0 866464 15 12
Cabbage_FM 1 40.7 13.8 293.3 157182 40 38
Carrots_FM 1 82.3 63.0 976.5 638631 17 16
Cauliflower 1 84.8 33.2 298.8 314743 27 26
Celery 1 95.9 28.5 855.0 437441 26 22
Corn_FM 1 17.2 29.9 284.1 159068 36 37
Cucumbers_FM 3 17.4 3.5 35.9 21253 51 51
Garlic 1 94.3 22.5 185.7 263454 28 30
Lettuce 1 76.2 188.5 3080.7 2255391 6 5
Melons_Cantaloupe 1 54.9 27.5 412.5 143550 34 39
Melons_Honeydew 1 79.6 10.7 144.5 64136 49 50
Melons_Watermelon 1 16.5 10.4 275.6 79924 44 45
Mushroom 1 22.5 10.4 55.0 204593 29 27
Onions 1 22.9 44.2 983.3 227632 30 32
Peppers 1 55.0 25.8 562.8 517885 18 19
Pumpkins 1 28.9 6.1 73.2 26059 62 62
Spinach_FM 1 72.4 26.7 213.6 189677 32 34
Squash 1 17.1 5.4 43.2 29826 61 60
Tomatoes_FM 1 NA 30.4 471.2 328898 NA NA
Tomatoes_Proc 1 NA 296.0 14361.0 1384400 NA NA
Almond 1 100.0 890.0 950.0 5325000 2 2
Apples 6 1.2 14.0 73.0 40363 50 56
Apricots 1 84.4 8.3 34.5 35213 56 58
Avocados 1 92.8 52.0 196.0 274400 25 28
Blueberries 5 13.6 5.7 31.2 116979 42 42
Raspberries 1 82.2 8.8 89.7 477319 21 20
Strawberries_FM 1 NA NA 1091.1 1592933 NA NA
Strawberries_Proc 1 NA NA 304.4 262393 NA NA
Cherries 2 27.5 33.0 60.1 232328 39 30
Dates 1 100.0 10.0 43.6 68016 53 49
Figs 1 100.0 6.8 30.2 21853 64 63
Grapefruit 3 22.5 9.8 192.0 50388 59 53
Grapes_Raisin 1 NA 184.0 2007.0 696796 NA NA
Grapes_Table 1 NA 112.0 1135.0 1741729 NA NA
Grapes_Wine 1 NA 560.0 3705.0 2515695 NA NA
Kiwifruit 1 100.0 4.0 23.7 30893 60 59
Lemons 1 78.6 47.0 824.0 NA 19 17
Nectarines 1 94.1 19.0 158.0 141573 35 40
Olives 1 100.0 36.0 179.0 160043 46 36
Oranges 2 39.6 163.0 1928.0 773356 14 14
Peaches_Clingstone 1 NA 19.0 340.6 160201 NA NA
Peaches_Freestone 1 NA 24.0 267.0 179412 NA NA
Pears 3 20.0 11.1 202.0 100037 45 43
Pecans 7 1.5 NA 2.0 8633 66 66
Pistachios 1 100.0 233.0 135.0 669600 8 15
Plums 1 NA 17.8 106.0 104760 NA NA
Plums_Dried 1 NA 47.0 112.0 221100 NA NA
Tangerines_etc 1 89.2 52.0 748.0 NA 20 21
Walnuts 1 100.0 300.0 603.0 976860 7 9
Barley 13 0.7 25.0 33.0 6600 67 67
Beans_Dry 7 7.6 44.5 51.5 75529 48 48
Cottonseed 4 7.8 NA 195.0 55380 43 46
Grain_Corn 33 0.1 60.0 263.8 42390 41 52
Peppermint 4 3.0 1.9 0.1 3869 70 71
Hay 2 13.5 1180.0 6777.0 1198053 10 10
Oats 24 1.1 10.0 9.6 1920 72 72
Potatoes 10 6.0 30.7 674.1 182081 33 33
Potatoes_Sweet 2 24.1 18.5 314.5 172975 37 35
Rice 2 27.8 421.0 1872.1 752564 11 13
Sugar_Beets 7 3.0 25.0 1105.0 41237 54 54
Wheat 22 1.2 210.0 500.4 122295 38 41
Oil_Crops 3 7.0 92.0 84.3 43558 55 55
