line commodity unharvested ugly_blemished retail consumer
1 Almond NA NA 0.060 0.21
2 Apples 0.1 0.20 0.086 0.20
3 Apricots 0.1 0.20 0.351 0.11
4 Artichokes 0.1 0.20 0.193 0.18
5 Asparagus 0.1 0.20 0.094 0.18
6 Avocados 0.1 0.20 0.093 0.32
7 Barley NA NA 0.120 0.20
8 Beans_Dry NA NA 0.060 0.10
9 Beans_FM 0.1 0.20 0.184 0.24
10 Blueberries 0.1 0.20 0.052 0.20
11 Broccoli 0.1 0.20 0.120 0.12
12 Cabbage_FM 0.1 0.20 0.142 0.24
13 Carrots_FM 0.1 0.20 0.051 0.34
14 Cauliflower 0.1 0.20 0.140 0.09
15 Celery 0.1 0.20 0.051 0.39
16 Cherries 0.1 0.20 0.039 0.51
17 Corn_FM 0.1 0.20 0.006 0.32
18 Cottonseed NA NA 0.210 0.15
19 Cucumbers_FM 0.1 0.20 0.061 0.32
20 Dates 0.1 0.20 0.060 0.25
21 Figs 0.1 0.20 0.060 0.25
22 Garlic 0.1 0.20 0.074 0.43
23 Grain_Corn NA NA 0.120 0.20
24 Grapefruit 0.1 0.20 0.128 0.20
25 Grapes_Raisin 0.1 0.20 0.060 0.26
26 Grapes_Table 0.1 0.20 0.076 0.33
27 Grapes_Wine NA NA 0.060 0.10
28 Hay 0.0 0.00 0.000 0.00
29 Kiwifruit 0.1 0.20 0.127 0.45
30 Lemons 0.1 0.20 0.070 0.44
31 Lettuce 0.1 0.20 0.139 0.24
32 Melons_Cantaloupe 0.1 0.20 0.122 0.43
33 Melons_Honeydew 0.1 0.20 0.228 0.43
34 Melons_Watermelon 0.1 0.20 0.168 0.13
35 Mushroom 0.1 0.20 0.127 0.21
36 Nectarines 0.1 0.20 0.110 0.42
37 Oats NA NA 0.120 0.14
38 Oil_Crops NA NA 0.210 0.15
39 Olives 0.1 0.20 0.060 0.25
40 Onions 0.1 0.20 0.098 0.43
41 Oranges 0.1 0.20 0.116 0.36
42 Peaches_Clingstone 0.1 0.20 0.060 0.09
43 Peaches_Freestone 0.1 0.20 0.119 0.42
44 Pears 0.1 0.20 0.176 0.20
45 Pecans NA NA 0.060 0.14
46 Peppermint NA NA NA NA
47 Peppers 0.1 0.20 0.078 0.39
48 Pistachios NA NA 0.060 0.16
49 Potatoes 0.1 0.20 0.065 0.16
50 Potatoes_Sweet 0.1 0.20 0.142 0.44
51 Pumpkins 0.1 0.20 0.112 0.69
52 Raspberries 0.1 0.20 0.098 0.20
53 Rice NA NA 0.120 0.33
54 Spinach_FM 0.1 0.20 0.144 0.09
55 Squash 0.1 0.20 0.125 0.25
56 Sugar_Beets NA NA 0.110 0.34
57 Tangerines_etc 0.1 0.20 0.204 0.52
58 Tomatoes_FM 0.1 0.20 0.132 0.09
59 Tomatoes_Proc 0.1 0.05 0.060 0.28
60 Walnuts NA NA 0.060 0.18
61 Wheat NA NA 0.120 0.20
62 Plums 0.1 0.20 0.173 0.27
63 Plums_Dried 0.1 0.20 0.060 0.11
64 Strawberries_FM 0.1 0.20 0.098 0.35
65 Strawberries_Proc 0.1 0.05 0.060 0.24
66 Spinach_Proc 0.1 0.05 0.060 0.34
